id,size,n,k,ssb,ssw,f,p,eta2,omega2
18376380,101,101,3,138.79866728142102,251.26073865917303,27.068035909960237,4.372199620735718e-10,0.3558398161088314,0.3404558521079841
19755487,78,78,3,84.70190774138081,149.13463072015702,21.298349853173768,4.7312932332502836e-08,0.3622269996753003,0.3423088484491337
17900533,105,105,7,168.9627024457694,426.4277737447066,6.471727007161958,8.961053461299025e-06,0.2837846912279383,0.23819397668516706
12863662,79,79,3,80.5875105485233,296.64666666666665,10.323141113481423,0.00010811369701561234,0.21362727826899114,0.19095742102728094
17302284,194,194,2,11.485516000859153,764.1549479166666,2.8858271194567244,0.09098187817448358,0.014807783419200797,0.009627174906874165
12688594,74,74,2,5.476490188818975,942.2397260273973,0.4184787402855704,0.5197541508398766,0.005778618214093684,-0.00792063891396516
17372011,107,107,2,2.3646426717105413,507.29890873015876,0.4894303462057619,0.48572852223372653,0.004639615026827811,-0.00479455709486223
18547460,459,459,2,32.25385279459993,910.4139031966865,16.19044994301644,6.702947998614878e-05,0.034215504444280655,0.03203449151040869
13612783,82,82,7,141.87812137049923,1114.3779761904761,1.5914497190566401,0.16141025757000205,0.11293725988351896,0.0414816167196433
19381435,73,73,3,145.3490404092425,421.14411027568923,12.079514565675145,3.113596891418765e-05,0.25657687164179277,0.23286312747856697
14519811,222,222,2,17.74263177204356,1043.1357466063348,3.7419664722914194,0.054344426158266665,0.01672447297791508,0.012200509390085268
18549459,141,141,6,240.47086332970272,732.1887111383824,8.867540855426904,2.66212353318401e-07,0.24723024338829766,0.21813355357281347
10904094,125,125,4,66.38366666666653,812.2083333333334,3.2965366712837016,0.022856340656023634,0.07555687584984445,0.05223770100713434
17189227,91,91,2,0.173416471169277,202.85955056179776,0.07608252059773703,0.7833176224341041,0.0008541296209354951,-0.010257078833229568
16615140,235,235,4,99.02113972875418,663.1426900584796,11.497718173507558,4.7098030846700754e-07,0.12992106927508879,0.11817622323990083
15750616,73,73,3,64.5401006907861,357.41880341880346,6.320046686325723,0.0029974602200867496,0.15295352239805796,0.12721283470171893
13824614,45,45,4,55.31307189542469,133.9313725490196,5.644273641916552,0.00247665622446545,0.29228372889785265,0.23641870025709144
16247397,67,67,2,31.765327210103273,262.8615384615385,7.8548816260497665,0.0066725311265604876,0.10781544696438294,0.09281555227125221
14806374,177,177,3,41.8798523002418,1189.9789047619047,3.061858605678435,0.049330579928767,0.03399728423420948,0.02276740602968535
18121248,68,68,3,202.0078125,67.6796875,97.0047904882835,3.0684541555689513e-20,0.7490440324449594,0.7384711757751403
13882979,161,161,4,310.62291195268955,2659.2652868050736,6.112941222092644,0.0005849785183036096,0.10459077620585719,0.08698494947038281
12241239,72,72,3,14.210295893719897,378.7028985507246,1.2945641826601182,0.2805882972974265,0.036166502155297674,0.008115931112374327
17398386,79,79,4,43.885750186150375,337.2977941176471,3.2527451225224544,0.02633851896547687,0.11513023277619272,0.07880567199874121
13816856,75,75,4,37.0888888888892,464.6977777777778,1.8889058918421053,0.13924642465973175,0.07391365963401945,0.03433539816459412
13454746,195,195,3,361.38123580972854,1213.867482138991,28.58021913281762,1.3643496651546283e-11,0.2294121757993349,0.22050024635415216
17241381,73,73,4,16.469079293993506,136.66105769230768,2.771739295437721,0.047970585115495144,0.10754956286277474,0.06786954093684622
15421731,102,102,5,297.7567026810723,611.5374149659864,11.807290712404917,7.443420927486142e-08,0.32745917619214837,0.29766172304099925
15125978,44,44,2,22.130952380952294,171.61904761904762,5.4160654827968715,0.024846188349329165,0.11422427035330221,0.0912107466552808
16304286,977,977,4,164.92421494676557,3882.4002476939686,13.777667671652187,8.347870132006987e-09,0.04074894821730167,0.037754118994585556
14303384,50,50,7,149.96257575757573,114.24242424242424,9.407466622458001,1.3527233866179757e-06,0.5675993102234089,0.5022141501397912
11619087,56,56,3,6.350806451612809,40.774193548387096,4.1275217563290525,0.021580000370517063,0.13476512364165139,0.10047448623799113
15767910,97,97,6,1112.7785589544235,1239.2781420765027,16.34223108222971,1.7671389466100287e-11,0.4731087301027579,0.44160177986027793
19770161,150,150,4,116.8302139965298,204.86311933680358,27.753834363016118,2.91767731497388e-14,0.36317263023748225,0.3485667469911766
10767116,149,149,4,14.661139994328323,711.7985915492958,0.9955369044074033,0.39683219145175297,0.02018162791098617,-8.986906080817345e-05
10480735,82,82,2,11.28048780487805,53.625,16.828699755529026,9.774842159712939e-05,0.173798675372258,0.16180016493201352
19960743,118,118,3,59.65754744314078,885.8594017094017,3.8722950519701964,0.02357708578666812,0.06309516449875516,0.046422959574355306
11579913,156,156,2,3.068931068931054,707.3733766233767,0.6681271874711996,0.4149681059963461,0.004319747058560886,-0.0021319252600060243
14901355,101,101,2,44.39175047939632,365.0339920948617,12.03938096898702,0.0007729640570368949,0.10842442441524043,0.09853125636282094
19141681,46,46,2,1.8767162471396197,219.42763157894737,0.3763223176586747,0.5427365268565755,0.008480250232654469,-0.013744562152376426
14650259,55,55,4,259.15860389610435,100.22321428571429,43.958840251063044,3.566003804678869e-14,0.7211233033636407,0.7008862263941543
19316775,70,70,2,43.392857142857146,167.75,17.589951032573985,8.113358701891737e-05,0.20551420838971585,0.19159210548962044
19697088,68,68,3,92.61521739130491,210.07228260869567,14.328375585008352,6.993002948694527e-06,0.30597635314079613,0.28161489635469816
14808365,52,52,7,50.48282585470076,514.5315972222222,0.7358560600637557,0.6234089461119607,0.08934785342254503,-0.03143626605090155
13126641,144,144,3,265.3040780141845,556.9459219858156,33.58304058194785,1.1804424164036537e-12,0.32265622136112426,0.3115518577452034
15866795,116,116,6,316.9879524333583,781.3116165321594,8.925676779882918,3.855191688608145e-07,0.28861702343371354,0.25463468106837844
14707498,79,79,4,34.29886891465446,307.49859943977594,2.788538628886661,0.046360114081615535,0.10034851656387313,0.0635995580695856
